execution,case_id,parent_case_id,operator_id,novel_coverage,added_to_corpus,result_class,signature
211,7e5df15191ffa63d274aa3affb06965d40a7bca4636c2c7c691910df90a8065f,7f1c1286a34ccd055ad5ef3044ae69c32f24b19ef4243b46cdf52635bf628c59,buffer.block.v1,1,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
212,1109370bf5ddecd2af9a2b48c7c7025fe22827448f1bd04f9d5a966197c20cfa,7e5df15191ffa63d274aa3affb06965d40a7bca4636c2c7c691910df90a8065f,scalar.boundary.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
213,feb7d5b170125f93985fe5f5602b63c31595e5a6ca82f11522e4bb2c6a16ed3a,1109370bf5ddecd2af9a2b48c7c7025fe22827448f1bd04f9d5a966197c20cfa,scalar.boundary.v1,0,false,COMPLETE,
214,f4bd58f4de5e18184502e5b17e086264dcb43da0b4cea0fb692686bf4b07238f,7e5df15191ffa63d274aa3affb06965d40a7bca4636c2c7c691910df90a8065f,sequence.swap-adjacent.v1,0,false,COMPLETE,
215,8dc632e78e7e1072c136b4d6321edcbf9a4f24d9bce69a347f6156028074270f,1109370bf5ddecd2af9a2b48c7c7025fe22827448f1bd04f9d5a966197c20cfa,sequence.delete.v1,0,false,COMPLETE,
216,c860b7548a5cf0332318238ce6ed9673948cfc52c9b5bb3db71928a07e4645dc,7e5df15191ffa63d274aa3affb06965d40a7bca4636c2c7c691910df90a8065f,sequence.delete.v1,0,false,COMPLETE,
217,1c00899e0ab90b5eea69333d82157f785b7ee398836360811d2de8c0bdc8e3e6,1109370bf5ddecd2af9a2b48c7c7025fe22827448f1bd04f9d5a966197c20cfa,sequence.swap-adjacent.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
218,c96af56890cc2acc62a704233a9b98a02c78ec579bcd44fef41a161b703fad6f,1c00899e0ab90b5eea69333d82157f785b7ee398836360811d2de8c0bdc8e3e6,buffer.block.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
219,731bfadc7e18236d7f1a3b8d90bb1fc126c0c62932af19b2e7845b824d83d321,c96af56890cc2acc62a704233a9b98a02c78ec579bcd44fef41a161b703fad6f,sequence.insert.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
220,883b510e868fc7fb74b7779529fd50a525fcab9d2dc498015528a4521a140798,731bfadc7e18236d7f1a3b8d90bb1fc126c0c62932af19b2e7845b824d83d321,scalar.boundary.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
221,0fb9114466a735958cb0cccca5e95351a6e4bd4895bb989c704a53db72664c95,883b510e868fc7fb74b7779529fd50a525fcab9d2dc498015528a4521a140798,buffer.block.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
222,41298d45db622ebd3b678e79edaf3bb959dbdb51837d0865b26644c04e564a5a,0fb9114466a735958cb0cccca5e95351a6e4bd4895bb989c704a53db72664c95,buffer.block.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
223,084ff50cda7be1366c3739c7ab73a713dd8cea35393874ade0c6a0a7661bad99,41298d45db622ebd3b678e79edaf3bb959dbdb51837d0865b26644c04e564a5a,sequence.delete.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
224,15dee2dcb4cae90146c5345456aac23d0c347f5172232a457ab3b308e3353df6,084ff50cda7be1366c3739c7ab73a713dd8cea35393874ade0c6a0a7661bad99,sequence.insert.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
225,dcc145f90591905c6b996c2818ce3b25e787d22bf5053db32361b51bed15342e,15dee2dcb4cae90146c5345456aac23d0c347f5172232a457ab3b308e3353df6,sequence.delete.v1,0,false,COMPLETE,
226,e4293276ed6241d39bb94b854eeb994dd203900d3e9c830e4e497ecf70d92333,1c00899e0ab90b5eea69333d82157f785b7ee398836360811d2de8c0bdc8e3e6,scalar.boundary.v1,0,false,COMPLETE,
